whale,Animal_ID,Reproductive_Class,Species,Image,Aircraft,Focal_Length,LaserAlt,BaroAlt,Pixel_Dimension,Launch_Ht,Altitude,Altimeter,TL
1,Mn180227_L_F4-06-mom,mom,Humpback,180227_L_F4_DSC08476.JPG,LemHex,50,3.38,70.5,0.00391667,2.385,72.885,barometer,13.70238
2,Mn180227_L_F4-07-calf,calf,Humpback,180227_L_F4_DSC08479.JPG,LemHex,50,3.61,70.55,0.00391667,2.385,72.935,barometer,9.029353
3,Mn180227_L_F2-04-43,female,Humpback,180227_L_F2_DSC08339.JPG,LemHex,50,3.74,44.8,0.00391667,2.385,47.185,barometer,10.154212
4,Mn190303_A_F5-13-calf2,calf,Humpback,190303_A_F5_DSC07951.JPG,Alta,35,16.72,17.45,0.00391667,1.807,16.72,laser,8.321782857
5,Mn190305_A_F2-03-calfmaybe,calf,Humpback,190305_A_F2_DSC08581.JPG,Alta,35,23.75,25.46,0.00391667,1.807,23.75,laser,8.902857143
6,Mn190303_A_F1-01,male,Humpback,190303_A_F1_DSC07542.JPG,Alta,35,23.91,24.08,0.00391667,1.807,23.91,laser,11.86619143
7,Mn190224_L_F2-04-mom,mom,Humpback,190224_L_F2_DSC04640.JPG,LemHex,35,24.37,27.15,0.00391667,2.23,24.37,laser,13.09017143
8,Mn190303_A_F4-09-mom1,mom,Humpback,190303_A_F4_DSC07613.JPG,Alta,35,24.79,25.13,0.00391667,1.807,24.79,laser,11.80004
9,Mn170204_A_F3_06-calf,calf,Humpback,170204_A_F3_DSC00964.JPG,Alta,50,24.8,31.04,0.00391667,2.05,24.8,laser,7.28624
10,Mn190303_A_F1-02,male,Humpback,190303_A_F1_DSC07515.JPG,Alta,35,23.98*,24.01,0.00391667,1.807,25.817,barometer,12.84211343
11,Mn190226_L_F1-01-mom,mom,Humpback,190226_L_F1_DSC05462.JPG,LemHex,35,26.2,25.8,0.00391667,2.23,26.2,laser,13.33954286
12,Mn190224_L_F2-05-calf,calf,Humpback,190224_L_F2_DSC04569.JPG,LemHex,35,26.64,27.6,0.00391667,2.23,26.64,laser,8.243177143
13,Mn190227_A_F1-02-calf,calf,Humpback,190227_A_F1_DSC05377.JPG,Alta,35,26.795,27.1,0.00391667,1.807,26.795,laser,7.862418571
14,Mn190301_L_F1-01-mom,mom,Humpback,190301_L_F1_DSC06156.JPG,LemHex,35,26.95,25.9,0.00391667,2.23,26.95,laser,13.5443
15,Mn190227_A_F1-01-mom,mom,Humpback,190227_A_F1_DSC05383.JPG,Alta,35,27.02,27.18,0.00391667,1.807,27.02,laser,12.34428
16,Mn190303_A_F4-10-calf1,calf,Humpback,190303_A_F4_DSC07909.JPG,Alta,35,27.08,31.69,0.00391667,1.807,27.08,laser,7.737142857
18,Mn190311_A_F2-04-calf1,calf,Humpback,190311_A_F2_DSC01168.JPG,Alta,35,27.975,27.46,0.00391667,1.807,27.975,laser,9.327664286
19,Mn190306_A_F1-01-45,female,Humpback,190306_A_F1_DSC08942.JPG,Alta,35,28.05,27.82,0.00391667,1.807,28.05,laser,9.657214286
20,Mn190303_A_F5-12-mom2,mom,Humpback,190303_A_F5_DSC07991.JPG,Alta,35,28.26,29.27,0.00391667,1.807,28.26,laser,12.83004
21,Mn190302_L_F1-02-calf,calf,Humpback,190302_L_F1_DSC06767.JPG,LemHex,35,28.3,31.55,0.00391667,2.23,28.3,laser,8.773
22,Mn180307_L_F8-11,male,Humpback,180307_L_F8_DSC00476.JPG,LemHex,50,29.66,26.35,0.00391667,1.995,29.66,laser,10.434388
23,Mn190309_A_F3-02-44b,male,Humpback,190309_A_F3_DSC00398.JPG,Alta,35,31.02,31.8,0.00391667,1.807,31.02,laser,10.78609714
