,AID,Species,Image,Region,Year,Aircraft,TL,RB,BaroAlt,Launch_Ht,LaserAlt,Altitude,Focal_Length,Iw,Sw,perDif
1,BB180304_L_F1-01-42,antarctic minke,180304_L_F1_DSC09026.JPG,WAP,2018,LemHex-44,8.15,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
2,BB180304_L_F1-01-42,antarctic minke,180304_L_F1_DSC09027.JPG,WAP,2018,LemHex-44,8.1,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
3,BB180304_L_F1-01-42,antarctic minke,180304_L_F1_DSC09027.JPG,WAP,2018,LemHex-44,8.1,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
4,BB180304_L_F1-01-42,antarctic minke,180304_L_F1_DSC09028.JPG,WAP,2018,LemHex-44,8.1,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
5,BB180304_L_F1-01-42,antarctic minke,180304_L_F1_DSC09028.JPG,WAP,2018,LemHex-44,8.1,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
6,BB180304_L_F1-02,antarctic minke,180304_L_F1_DSC09027.JPG,WAP,2018,LemHex-44,8.24,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
7,BB180304_L_F1-02,antarctic minke,180304_L_F1_DSC09027.JPG,WAP,2018,LemHex-44,8.24,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
8,BB180304_L_F1-02,antarctic minke,180304_L_F1_DSC09028.JPG,WAP,2018,LemHex-44,8.22,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
9,BB180304_L_F1-02,antarctic minke,180304_L_F1_DSC09028.JPG,WAP,2018,LemHex-44,8.22,NA,72.35,1.995,NA,74.345,50,6000,23.5,NA
10,BB180304_L_F1-02,antarctic minke,180304_L_F1_DSC09038.JPG,WAP,2018,LemHex-44,8.08,NA,75.5,1.995,NA,77.495,50,6000,23.5,NA
11,BB180304_L_F1-02,antarctic minke,180304_L_F1_DSC09038.JPG,WAP,2018,LemHex-44,8.08,NA,75.5,1.995,NA,77.495,50,6000,23.5,NA
12,BB180304_L_F1-02,antarctic minke,180304_L_F1_DSC09097.JPG,WAP,2018,LemHex-44,NA,NA,77.1,1.995,NA,79.095,50,6000,23.5,NA
13,BB180304_L_F1-03,antarctic minke,180304_L_F1_DSC09094.JPG,WAP,2018,LemHex-44,9.06,NA,78.15,1.995,76.99,76.99,50,6000,23.5,4.097934797
14,BB180304_L_F1-03,antarctic minke,180304_L_F1_DSC09095.JPG,WAP,2018,LemHex-44,8.99,1.54,78.15,1.995,76.99,76.99,50,6000,23.5,4.097934797
15,BB180304_L_F1-03,antarctic minke,180304_L_F1_DSC09096.JPG,WAP,2018,LemHex-44,8.97,1.51,77.85,1.995,77.04,77.04,50,6000,23.5,3.640965732
16,BB180304_L_F1-04-45,antarctic minke,180304_L_F1_DSC09039.JPG,WAP,2018,LemHex-44,8.48,1.12,75.5,1.995,NA,77.495,50,6000,23.5,NA
